word,translation,initial phoneme,palatalized,case,plurality,definiteness,process,gender
shúil,eye,h,n,DAT,SG,INDEF,Lenition,f
shúile,eye,h,n,DAT,PL,INDEF,Lenition,f
bó,cow,b,n,NOM,SG,INDEF,No,f
ba,cow,b,n,NOM,PL,INDEF,No,f
ba,cow,b,n,NOM,PL,DEF,No,f
bó,cow,b,n,GEN,SG,INDEF,No,f
bó,cow,b,n,GEN,SG,DEF,No,f
bó,cow,b,n,GEN,PL,INDEF,No,f
ba,cow,b,n,DAT,PL,DEF,No,f
bpost,job,b,n,GEN,PL,DEF,Eclipsis,m
bpost,job,b,n,DAT,SG,DEF,Eclipsis,m
dtorthaí,fruit,d,n,GEN,PL,DEF,Eclipsis,m
dán,poem,d,n,NOM,SG,INDEF,No,m
dán,poem,d,n,NOM,SG,DEF,No,m
dánta,poem,d,n,NOM,PL,INDEF,No,m
dánta,poem,d,n,NOM,PL,DEF,No,m
dáin,poem,d,n,GEN,SG,INDEF,No,m
dáin,poem,d,n,GEN,SG,DEF,No,m
dánta,poem,d,n,GEN,PL,INDEF,No,m
dán,poem,d,n,DAT,SG,DEF,No,m
dánta,poem,d,n,DAT,PL,DEF,No,m
phoist,job,f,n,GEN,SG,DEF,Lenition,m
phost,job,f,n,DAT,SG,INDEF,Lenition,m
phoist,job,f,n,DAT,PL,INDEF,Lenition,m
fuinneog,window,f,n,NOM,SG,INDEF,No,f
fuinneoga,window,f,n,NOM,PL,INDEF,No,f
fuinneoga,window,f,n,NOM,PL,DEF,No,f
fuinneoige,window,f,n,GEN,SG,INDEF,No,f
fuinneoige,window,f,n,GEN,SG,DEF,No,f
fuinneog,window,f,n,GEN,PL,INDEF,No,f
fuinneoga,window,f,n,DAT,PL,DEF,No,f
gcat,cat,g,n,GEN,PL,DEF,Eclipsis,m
gcat,cat,g,n,DAT,SG,DEF,Eclipsis,m
gúna,dress,g,n,NOM,SG,INDEF,No,m
gúna,dress,g,n,NOM,SG,DEF,No,m
gúnaí,dress,g,n,NOM,PL,INDEF,No,m
gúnaí,dress,g,n,NOM,PL,DEF,No,m
gúna,dress,g,n,GEN,SG,INDEF,No,m
gúnaí,dress,g,n,GEN,PL,INDEF,No,m
gúnaí,dress,g,n,DAT,PL,DEF,No,m
ghúna,dress,ɣ,n,GEN,SG,DEF,Lenition,m
ghúna,dress,ɣ,n,DAT,SG,INDEF,Lenition,m
ghúnaí,dress,ɣ,n,DAT,PL,INDEF,Lenition,m
dhán,poem,ɣ,n,DAT,SG,INDEF,Lenition,m
dhánta,poem,ɣ,n,DAT,PL,INDEF,Lenition,m
thoradh,fruit,h,n,DAT,SG,INDEF,Lenition,m
thorthaí,fruit,h,n,DAT,PL,INDEF,Lenition,m
cat,cat,k,n,NOM,SG,INDEF,No,m
cat,cat,k,n,NOM,SG,DEF,No,m
cait,cat,k,n,NOM,PL,INDEF,No,m
cait,cat,k,n,NOM,PL,DEF,No,m
cait,cat,k,n,GEN,SG,INDEF,No,m
cat,cat,k,n,GEN,PL,INDEF,No,m
cait,cat,k,n,DAT,PL,DEF,No,m
luch,mouse,l,n,NOM,SG,INDEF,No,f
luch,mouse,l,n,NOM,SG,DEF,No,f
lucha,mouse,l,n,NOM,PL,INDEF,No,f
lucha,mouse,l,n,NOM,PL,DEF,No,f
luiche,mouse,l,n,GEN,SG,INDEF,No,f
luiche,mouse,l,n,GEN,SG,DEF,No,f
luch,mouse,l,n,GEN,PL,INDEF,No,f
luch,mouse,l,n,GEN,PL,DEF,No,f
luch,mouse,l,n,DAT,SG,INDEF,No,f
luch,mouse,l,n,DAT,SG,DEF,No,f
lucha,mouse,l,n,DAT,PL,INDEF,No,f
lucha,mouse,l,n,DAT,PL,DEF,No,f
mála,bag,m,n,NOM,SG,INDEF,No,m
mála,bag,m,n,NOM,SG,DEF,No,m
málaí,bag,m,n,NOM,PL,INDEF,No,m
málaí,bag,m,n,NOM,PL,DEF,No,m
málaí,bag,m,n,GEN,SG,DEF,No,m
málaí,bag,m,n,GEN,PL,INDEF,No,m
málaí,bag,m,n,GEN,PL,DEF,No,m
mála,bag,m,n,DAT,SG,DEF,No,m
málaí,bag,m,n,DAT,PL,DEF,No,m
mbó,cow,m,n,GEN,PL,DEF,Eclipsis,f
mbó,cow,m,n,DAT,SG,DEF,Eclipsis,f
nuachtán,newspaper,n,n,NOM,SG,INDEF,No,m
nuachtán,newspaper,n,n,NOM,SG,DEF,No,m
nuachtáin,newspaper,n,n,NOM,PL,INDEF,No,m
nuachtáin,newspaper,n,n,NOM,PL,DEF,No,m
nuachtáin,newspaper,n,n,GEN,SG,INDEF,No,m
nuachtáin,newspaper,n,n,GEN,SG,DEF,No,m
nuachtán,newspaper,n,n,GEN,PL,INDEF,No,m
nuachtán,newspaper,n,n,GEN,PL,DEF,No,m
nuachtán,newspaper,n,n,DAT,SG,INDEF,No,m
nuachtán,newspaper,n,n,DAT,SG,DEF,No,m
nuachtáin,newspaper,n,n,DAT,PL,INDEF,No,m
nuachtáin,newspaper,n,n,DAT,PL,DEF,No,m
ndánta,poem,n,n,GEN,PL,DEF,Eclipsis,m
ngúnaí,dress,ŋ,n,GEN,PL,DEF,Eclipsis,m
ngúna,dress,ŋ,n,DAT,SG,DEF,Eclipsis,m
fhuinneog,window,O,n,NOM,SG,DEF,Lenition,f
fhuinneog,window,O,n,DAT,SG,INDEF,Lenition,f
fhuinneoga,window,O,n,DAT,PL,INDEF,Lenition,f
post,job,p,n,NOM,SG,INDEF,No,m
post,job,p,n,NOM,SG,DEF,No,m
poist,job,p,n,NOM,PL,INDEF,No,m
poist,job,p,n,NOM,PL,DEF,No,m
poist,job,p,n,GEN,SG,INDEF,No,m
post,job,p,n,GEN,PL,INDEF,No,m
poist,job,p,n,DAT,PL,DEF,No,m
rón,seal,r,n,NOM,SG,INDEF,No,m
rón,seal,r,n,NOM,SG,DEF,No,m
rónta,seal,r,n,NOM,PL,INDEF,No,m
rónta,seal,r,n,NOM,PL,DEF,No,m
róin,seal,r,n,GEN,SG,INDEF,No,m
róin,seal,r,n,GEN,SG,DEF,No,m
rónta,seal,r,n,GEN,PL,INDEF,No,m
rónta,seal,r,n,GEN,PL,DEF,No,m
rón,seal,r,n,DAT,SG,INDEF,No,m
rón,seal,r,n,DAT,SG,DEF,No,m
rónta,seal,r,n,DAT,PL,INDEF,No,m
rónta,seal,r,n,DAT,PL,DEF,No,m
súil,eye,s,n,NOM,SG,INDEF,No,f
súile,eye,s,n,NOM,PL,INDEF,No,f
súile,eye,s,n,NOM,PL,DEF,No,f
súile,eye,s,n,GEN,SG,INDEF,No,f
súile,eye,s,n,GEN,SG,DEF,No,f
súl,eye,s,n,GEN,PL,INDEF,No,f
súl,eye,s,n,GEN,PL,DEF,No,f
súile,eye,s,n,DAT,PL,DEF,No,f
tsúil,eye,t,n,NOM,SG,DEF,?,f
