,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
O,1.0,0.841704200966358,0.777927098419717,0.813741442473154,0.79861666320475,0.767667457777879,0.813440469545464,0.802337275061229,0.797830725003394,0.759701078357577,0.780893430695762,0.762458746106144,0.769581731703726,0.730910183762777,0.752679902160416,0.800018045612064,0.779212080678761,0.788031225773544,0.841448073103378,0.798761400308859,0.743989889433947,0.7532707876022,0.824204254552599,0.784559302169493,0.789864237569324,0.774292076512408,0.774720342520472,0.863840757012195,0.879996254727645,0.840398862964625,0.825354402947497,0.878609529549242,0.877114891446273,0.80807854208056
p,0.841704200966358,1.0,0.847265610431897,0.835354539714579,0.845893125782697,0.814211980979055,0.814864224637016,0.873573447861223,0.828366919847852,0.817006778879625,0.810209525534994,0.817237485902191,0.833586492580153,0.798105368443212,0.824370992275869,0.823020525651784,0.851320456893419,0.808799975756742,0.914682537372806,0.831679209802728,0.817818551683569,0.824965058793724,0.831387114988824,0.836698686862639,0.844870175034212,0.826791870560655,0.841951888857273,0.940835205052701,0.949302626808736,0.918974700163602,0.900335391559601,0.954117184492226,0.954410228413741,0.840306025057947
pʲ,0.777927098419717,0.847265610431897,1.000000000000001,0.810284042343382,0.798244622892565,0.782282348353734,0.789393295321777,0.812986750416733,0.755942342074376,0.804288764974935,0.752595703144175,0.787378883960031,0.793518283416724,0.810091513041026,0.80052424621317,0.778119742190687,0.782254570522018,0.769814303608065,0.832702855393863,0.806009936487124,0.792964908834167,0.77981917397484,0.768000956793713,0.781130341526438,0.790945523807402,0.79181139032841,0.793158533186236,0.861838075971305,0.87184699638055,0.831646196060711,0.838355459253917,0.870570907668985,0.873457394576731,0.797684361656136
b,0.813741442473154,0.835354539714579,0.810284042343382,1.0,0.824844081664466,0.788803580899914,0.73711505563498,0.791518869824594,0.760833294610474,0.800493095943215,0.759604942144604,0.795875095129833,0.763293034667765,0.755855371362551,0.742794968620926,0.763703587352253,0.772893606920843,0.779512720113707,0.82948101333414,0.755389244044275,0.751860442305436,0.783847222811663,0.802052116368943,0.767221472230242,0.776561389095596,0.780732172867777,0.76412293482134,0.873829132833038,0.852832957092153,0.846822204389398,0.816983912642799,0.862586526084514,0.866576957212973,0.751187093946598
bʲ,0.79861666320475,0.845893125782697,0.798244622892565,0.824844081664466,1.0,0.783506391653951,0.752858599658892,0.80714027051137,0.792584742135645,0.813392255302531,0.774590484475323,0.797445664554792,0.806968695687972,0.754925958971216,0.791227619774112,0.784588987441078,0.786258476763687,0.766670895297187,0.848229274162362,0.78683764378073,0.760057793638726,0.784127076320463,0.810218933267088,0.807634926892797,0.811739551339751,0.769570528542515,0.780591090558138,0.876797191923052,0.879134655257534,0.845550023842396,0.8322175145384,0.883227070886009,0.88466812594589,0.768712281958814
f,0.767667457777879,0.814211980979055,0.782282348353734,0.788803580899914,0.783506391653951,1.0,0.778799929137316,0.779323742871642,0.753819005271786,0.790295956808492,0.736522169121324,0.777557382974509,0.779227540967782,0.754183743775928,0.744453417151376,0.761047628104278,0.784406357784985,0.754021869859772,0.802316613214553,0.743035102516349,0.730012749687476,0.751292859060566,0.779609060022047,0.777684740134829,0.750686129494716,0.75799126605543,0.776084955546001,0.838455707583515,0.839259522397036,0.807501828610824,0.792510523917725,0.839125824665106,0.84233410797285,0.75866810266823
fʲ,0.813440469545464,0.814864224637016,0.789393295321777,0.73711505563498,0.752858599658892,0.778799929137316,1.0,0.777534448065817,0.765207198538474,0.72868520090311,0.752608028849861,0.722479529807692,0.776972222197035,0.753617379858176,0.780736093407753,0.746465463242916,0.757330667934987,0.759165027965806,0.813609909798462,0.76944372044122,0.735054588047689,0.725678885520004,0.77788844948396,0.748751370011491,0.768563876034416,0.793443232199077,0.750866241312467,0.831845332864416,0.852596471354706,0.814651489277558,0.80319938132095,0.849356390519932,0.849183853583792,0.771235840042641
v,0.802337275061229,0.873573447861223,0.812986750416733,0.791518869824594,0.80714027051137,0.779323742871642,0.777534448065817,1.0,0.772039445451174,0.797210036020109,0.785908352649352,0.788886687788144,0.793942793386527,0.763113910534072,0.805264193700636,0.805879846937938,0.815894697483466,0.761263198485714,0.869359017668723,0.797759176881466,0.773377897461999,0.801087312014057,0.821885848859574,0.830187424783697,0.847405494567646,0.792075985907184,0.809524421738933,0.89260203868426,0.919114312509455,0.862299272909696,0.848846629051581,0.905059391378157,0.906295288655843,0.809758945958065
vʲ,0.797830725003394,0.828366919847852,0.755942342074376,0.760833294610474,0.792584742135645,0.753819005271786,0.765207198538474,0.772039445451174,1.0,0.74380718825467,0.79277317477499,0.744362621607834,0.747145311852968,0.740134100866039,0.790276244520379,0.761111297286213,0.764374473854911,0.730817381443314,0.830045104123078,0.7895746826416,0.733115783193783,0.73322084649179,0.751628067201028,0.801202675744038,0.803346306023938,0.736718539074177,0.761560946280862,0.863754377243307,0.857012046984113,0.838418153636425,0.824147440869474,0.867105346335658,0.869538870740868,0.787923273333127
m,0.759701078357577,0.817006778879625,0.804288764974935,0.800493095943215,0.813392255302531,0.790295956808492,0.72868520090311,0.797210036020109,0.74380718825467,1.0,0.763090663801033,0.75331957939673,0.76807622541719,0.762878003871328,0.762416907253437,0.773228705923182,0.756626874230562,0.757788023349527,0.829894253144113,0.786134816454933,0.750994904865841,0.777199411257164,0.774929455700005,0.777432980845074,0.773935341535322,0.745489656753557,0.78983036087991,0.838866859590159,0.855328524740173,0.824608496562829,0.805970811778008,0.85521093423264,0.85580063672128,0.75749792294286
mʲ,0.780893430695762,0.810209525534994,0.752595703144175,0.759604942144604,0.774590484475323,0.736522169121324,0.752608028849861,0.785908352649352,0.79277317477499,0.763090663801033,1.0,0.748079909119371,0.747502164953111,0.755498487790872,0.78450231231423,0.769940940904213,0.756841499582518,0.74303144661329,0.807188688954612,0.741112222411192,0.75231583421435,0.719470919969215,0.75030204451728,0.780478304034064,0.788507173106741,0.769020070577399,0.76115912525519,0.852435470543104,0.840699976328161,0.815678890899724,0.813738459838885,0.845775213845425,0.851456519883076,0.775700530310414
t,0.762458746106144,0.817237485902191,0.787378883960031,0.795875095129833,0.797445664554792,0.777557382974509,0.722479529807692,0.788886687788144,0.744362621607834,0.75331957939673,0.748079909119371,1.0,0.787568983913038,0.752856762828349,0.758701828792855,0.787742091502487,0.759692884015913,0.762449367167309,0.813145788449012,0.781408487135093,0.732927874002833,0.764529939503736,0.793090050064131,0.784023206075861,0.746810212109842,0.727132128639216,0.753708248823342,0.845172267767067,0.847302231753166,0.81830083860055,0.80863455785551,0.849079887130517,0.852826075184337,0.753964619115188
tʲ,0.769581731703726,0.833586492580153,0.793518283416724,0.763293034667765,0.806968695687972,0.779227540967782,0.776972222197035,0.793942793386527,0.747145311852968,0.76807622541719,0.747502164953111,0.787568983913038,1.0,0.766577090092007,0.764120298058716,0.798789317589577,0.792658314642667,0.73560780131678,0.82591991447282,0.798656534367164,0.776492360799792,0.752721037634177,0.791921983554149,0.788758913071136,0.776938971433061,0.788383785528844,0.775999162514788,0.870482435810989,0.857638332811888,0.822672075078434,0.813681755628308,0.861870554206887,0.867113015092021,0.823695071731427
d,0.730910183762777,0.798105368443212,0.810091513041026,0.755855371362551,0.754925958971216,0.754183743775928,0.753617379858176,0.763113910534072,0.740134100866039,0.762878003871328,0.755498487790872,0.752856762828349,0.766577090092007,1.0,0.762671667011392,0.768041844023166,0.778302139933192,0.748399338517782,0.804028146748826,0.755927525666533,0.761516757415358,0.7542975622788,0.762460730616032,0.782014778697393,0.777975065576191,0.737453438833147,0.74434514044509,0.838571803370412,0.828917496866466,0.830685229267856,0.787497699609586,0.836773577802714,0.838402480892149,0.759698182589216
