,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
O,0.0,2.1211,2.3635,2.3813,2.262,2.4416,2.4112,2.6243,2.552,2.6876,2.6687,2.8186,2.4257,2.4515,2.4135,2.3895,2.5269,2.7176,2.7645,2.7982,2.4896000000000003,2.8203,2.9013,2.343,2.2377000000000002,2.4257,2.5034,2.2664,2.0306,2.5607,2.7266,1.9062,2.0303999999999998,2.5101
p,2.1211,0.0,2.2535,2.4312,2.4426,2.2041,2.395,2.5451,2.2908,2.3604,2.4322,2.6663,2.5274,2.3137000000000003,2.7182999999999997,2.3404000000000003,2.505,2.6023,2.4282000000000004,2.6669,2.4173,2.8322,2.7137000000000002,2.1392,2.4898,2.2916,2.3648,1.9941,2.1041,2.5903,2.4222,1.8351,1.8426000000000002,2.5053
pʲ,2.3635,2.2535,0.0,2.4688000000000003,2.1944000000000004,2.1025,2.1059,2.4063999999999997,2.2971,2.5589,2.3549,2.7659,2.1537,2.1557,2.2078,2.1585,2.2197999999999998,2.6281,2.4201,2.5311,2.3971,2.6816,2.3228999999999997,2.0435,2.0953,1.9959,2.0615,1.9609,1.8381,2.5202,2.5092,1.5980999999999999,1.6315,2.2748
b,2.3813,2.4312,2.4688000000000003,0.0,2.5984,2.4398,2.3361,2.646,2.4821,2.6944,2.3804,3.1214,2.6374999999999997,2.3789000000000002,2.3947,2.4764,2.2241,2.7628,2.6042,2.4891,2.4101999999999997,2.7524,2.6924,2.1506000000000003,2.3449,2.3058,2.3411,1.9392,1.9292,2.3741000000000003,2.3859000000000004,1.8009000000000002,1.786,2.6102
bʲ,2.262,2.4426,2.1944000000000004,2.5984,0.0,2.6639,2.284,2.4483,2.4924999999999997,2.5076,2.6117,2.7595,2.4992,2.497,2.1277999999999997,2.1635999999999997,2.415,2.562,2.2934,2.7626,2.5195,2.6584,2.7102,2.276,2.3449,2.3147,2.394,2.0762,2.0467,2.2055000000000002,2.4995,1.7402999999999997,1.8033000000000001,2.4745
f,2.4416,2.2041,2.1025,2.4398,2.6639,0.0,2.4455,2.6026000000000002,2.5228,2.532,2.5004999999999997,2.8946,2.558,2.3713,2.4769,2.2302,2.314,2.4084000000000003,2.5004,2.6919,2.4116999999999997,2.9321,2.5954,2.2297000000000002,2.2512,2.2192,2.4007,1.9779000000000002,2.1585,2.4446,2.4174,1.8217,1.9595999999999998,2.7362
fʲ,2.4112,2.395,2.1059,2.3361,2.284,2.4455,0.0,2.7332,2.4114,2.7309,2.674,2.8366,2.5555000000000003,2.2654,2.3963,2.4882999999999997,2.2329000000000003,2.5425,2.6270000000000002,2.723,2.609,2.973,2.7163,2.2029,2.3881,2.3601,2.2727,2.0666,2.1878,2.2274,2.3154999999999997,1.8526,2.009,2.4445
v,2.6243,2.5451,2.4063999999999997,2.646,2.4483,2.6026000000000002,2.7332,0.0,2.392,2.6358,2.6416,3.1940000000000004,2.5748,2.2795,2.4142,2.4406,2.4269,2.7699000000000003,2.5709,2.8156,2.6358,2.9743,2.8294,2.2146,2.4191000000000003,2.4987,2.3883,2.1991,2.0718,2.5529,2.6732,1.7492,1.8769999999999998,2.6483
vʲ,2.552,2.2908,2.2971,2.4821,2.4924999999999997,2.5228,2.4114,2.392,0.0,2.6031,2.4065,2.7137000000000002,2.6539,2.4343,2.6212,2.3189,2.3068999999999997,2.8828,2.5025,2.8943,2.7267,2.6473,2.6858,2.1602,2.1147,2.204,2.35,1.9171,1.9739,2.5812999999999997,2.3361,1.8287000000000002,1.8474000000000002,2.7208
m,2.6876,2.3604,2.5589,2.6944,2.5076,2.532,2.7309,2.6358,2.6031,0.0,2.597,2.9022,2.6204,2.2538,2.6281,2.2362,2.5133,2.7279,2.5037,2.9713,2.5758,2.7777,2.529,2.2814,2.5654,2.4149,2.3879,2.465,2.4237,2.508,2.6161,2.1628000000000003,2.2901000000000002,2.7931999999999997
