,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
O,100.0,79.1127,79.0324,78.2515,78.524,80.4594,80.6593,81.1318,81.37870000000001,77.5841,77.756,78.14569999999999,77.8301,77.75959999999999,77.7404,78.0655,78.0325,77.5636,77.2183,77.2493,76.8457,76.8815,77.8296,79.6539,79.6427,78.7431,78.6839,88.321,88.5668,84.2338,84.78869999999999,89.60510000000001,89.6671,81.3733
p,79.1127,100.0,77.4628,77.4798,76.6274,78.0092,76.68310000000001,77.7234,77.95490000000001,76.1562,75.9985,76.25619999999999,76.237,76.0154,76.22149999999999,76.2304,76.0641,75.8117,75.4665,75.73100000000001,75.3551,75.4268,76.0311,77.879,77.498,77.06960000000001,77.00280000000001,85.02159999999999,85.2487,81.133,81.1416,86.2526,86.0677,78.4211
pʲ,79.0324,77.4628,100.0,76.4393,77.4658,76.41120000000001,78.06309999999999,77.60679999999999,77.6168,75.8436,75.79169999999999,76.4763,76.1802,75.9757,76.08160000000001,76.4749,76.2231,76.0073,75.5683,75.8652,75.6899,75.6593,76.14699999999999,77.6978,77.76910000000001,77.1807,76.9595,84.81840000000001,85.26740000000001,81.22500000000001,81.50410000000001,86.2212,86.21379999999999,78.55959999999999
b,78.2515,77.4798,76.4393,100.0,75.8511,76.0464,75.8913,78.3004,77.06110000000001,76.0455,75.4969,75.4171,75.7409,75.4875,75.2384,75.8502,75.4906,75.3668,75.0593,75.3744,74.6851,74.8434,75.21719999999999,77.0257,76.8948,76.4559,76.4859,84.294,84.5655,80.41460000000001,80.51650000000001,85.4435,85.4203,77.84410000000001
bʲ,78.524,76.6274,77.4658,75.8511,100.0,75.89590000000001,76.3614,77.4725,78.8698,75.4668,76.2379,75.51060000000001,75.913,75.44669999999999,75.3763,75.7097,75.5281,75.5197,75.0633,75.189,74.8226,74.95960000000001,75.4168,77.164,77.12400000000001,76.4316,76.5407,84.5719,84.8368,80.5938,80.8564,85.7267,85.6913,78.03529999999999
f,80.4594,78.0092,76.41120000000001,76.0464,75.89590000000001,100.0,75.7401,77.9657,77.0502,75.4696,75.3022,75.3454,75.6608,75.33670000000001,75.60860000000001,75.8484,75.67970000000001,75.49369999999999,75.13980000000001,74.9833,74.7431,74.9246,75.4508,77.0003,76.8651,76.6902,76.261,84.40950000000001,84.587,80.4763,80.56410000000001,85.7191,85.5732,77.7848
fʲ,80.6593,76.68310000000001,78.06309999999999,75.8913,76.3614,75.7401,100.0,77.1804,78.1218,75.5514,75.4656,75.7175,75.7543,75.27120000000001,75.4312,75.9966,75.4633,75.3081,75.06429999999999,75.4234,74.893,74.81179999999999,75.6415,77.1647,77.102,76.6169,76.3644,84.5323,84.9036,80.4462,80.6181,85.80330000000001,85.7566,77.93430000000001
v,81.1318,77.7234,77.60679999999999,78.3004,77.4725,77.9657,77.1804,100.0,78.90559999999999,78.48910000000001,76.58359999999999,76.6256,76.50829999999999,76.44919999999999,76.5652,76.8451,76.6683,76.2578,75.8769,76.1524,75.8536,75.5628,76.42099999999999,78.2905,78.1119,77.7148,77.7447,86.5399,86.7792,82.3137,82.9656,87.8778,87.8878,79.7851
vʲ,81.37870000000001,77.95490000000001,77.6168,77.06110000000001,78.8698,77.0502,78.1218,78.90559999999999,100.0,76.5206,78.63210000000001,76.9253,76.7008,76.7427,76.594,77.0406,76.6939,76.58470000000001,76.27080000000001,76.2709,75.91329999999999,75.8218,76.5321,78.3565,78.1516,77.7008,77.7064,86.6135,86.8677,82.7358,82.6953,87.86699999999999,87.9528,79.9201
m,77.5841,76.1562,75.8436,76.0455,75.4668,75.4696,75.5514,78.48910000000001,76.5206,100.0,75.0617,75.10679999999999,75.286,75.0673,74.83619999999999,75.4679,75.1369,74.9046,74.7776,74.8511,74.5162,74.4006,75.0283,76.5029,76.2058,75.8166,75.7564,83.5363,83.758,79.63759999999999,79.6401,84.7145,84.5701,77.35069999999999
