Phoneme,Activation levels
O,"[0.47005274 0.36131504 0.42591325 0.43455602 0.41747442 0.44488563
 0.44440758 0.17143387 0.39597443 0.49107116 0.43044332 0.35085692
 0.45183785 0.46271352 0.53072319 0.40630827 0.39904859 0.34507732
 0.32286598 0.36766507 0.40016007 0.45960885 0.47910494 0.40820428
 0.35423643 0.61115728 0.40156599 0.50447299 0.46494795 0.32975678
 0.43093944 0.45552165 0.35593674 0.31617875 0.44020908 0.3777852
 0.54879031 0.36793686 0.33438827 0.42208033 0.41575116 0.29858452
 0.50145307 0.4292854  0.43128709 0.38927729 0.38302359 0.42177386
 0.3617841  0.41972094 0.37370919 0.41989307 0.33724165 0.36035301
 0.64614946 0.44426023 0.52403546 0.46806169 0.3654759  0.37463425
 0.38799968 0.3059113  0.401095   0.44049997 0.16656332 0.23494095
 0.36231954 0.40492046 0.22297153 0.50104077]"
p,"[0.47011967 0.36062505 0.42592664 0.43453174 0.4173957  0.44498118
 0.44416589 0.17186136 0.3957936  0.49099865 0.43095781 0.35069355
 0.45171985 0.46274038 0.53028716 0.40583693 0.39885508 0.34526211
 0.32276638 0.36786132 0.40000128 0.45948147 0.47911973 0.40815381
 0.35452813 0.61067645 0.40127864 0.50433085 0.4649687  0.33004123
 0.43035376 0.45566385 0.35582739 0.31674545 0.43996221 0.37751063
 0.54859161 0.36791697 0.33425705 0.4220617  0.41568645 0.29843006
 0.50130332 0.42913771 0.4307808  0.38918906 0.38313285 0.4212716
 0.3617309  0.41893797 0.3736783  0.42074231 0.33759407 0.35974952
 0.64616956 0.44391295 0.52360631 0.46798663 0.36543112 0.37456937
 0.38766922 0.30560709 0.40188547 0.44066343 0.16702134 0.23520973
 0.36237198 0.40450736 0.22281522 0.50072671]"
pʲ,"[0.46948753 0.36020837 0.42643023 0.43401272 0.41765521 0.44473163
 0.44457329 0.16959407 0.3962164  0.49093797 0.43057579 0.35167028
 0.4518185  0.46279716 0.53010569 0.40901088 0.39987278 0.34495439
 0.32399538 0.36733312 0.40049595 0.46009576 0.47910452 0.40885692
 0.35364797 0.6115006  0.40370881 0.50499832 0.4645013  0.32943961
 0.43305741 0.455598   0.35640167 0.31266396 0.44093337 0.37856886
 0.54935146 0.36855961 0.33522023 0.42204869 0.41601243 0.29951764
 0.50195636 0.4296549  0.43401605 0.39011539 0.38244441 0.42500609
 0.3623348  0.42236663 0.37424916 0.42039846 0.33636959 0.35933218
 0.64623879 0.44565924 0.52349001 0.46819979 0.36563669 0.3748127
 0.3893609  0.30724117 0.40176172 0.44104406 0.16515101 0.23486847
 0.3623918  0.40448115 0.22384994 0.50051104]"
b,"[0.46988845 0.36093849 0.42582849 0.43451166 0.4174396  0.44496695
 0.44452171 0.1721467  0.39578493 0.49094827 0.43076996 0.35034753
 0.45166748 0.46258658 0.53122836 0.40630176 0.39878762 0.3452042
 0.32254492 0.36796955 0.40025011 0.45942864 0.47917767 0.4079382
 0.35408554 0.61067794 0.40169582 0.50431644 0.46507021 0.3299735
 0.42966617 0.45552385 0.3558894  0.31631711 0.4398563  0.37751686
 0.54842592 0.36773329 0.33399258 0.42211436 0.41562501 0.29808042
 0.5012983  0.42903253 0.4311507  0.38892761 0.38326844 0.42177249
 0.36153983 0.41815293 0.37345349 0.42042084 0.33715421 0.36000559
 0.6461497  0.44361688 0.52445692 0.46799617 0.3652944  0.37459802
 0.3871168  0.30527809 0.40152139 0.43996524 0.16723359 0.23512323
 0.36246679 0.40453074 0.22239831 0.50137426]"
bʲ,"[0.4697627  0.35996038 0.42645787 0.43394382 0.41765606 0.44470205
 0.44471108 0.16931144 0.39636319 0.49102622 0.43066135 0.35187469
 0.45178585 0.46295646 0.53002393 0.40833848 0.39991154 0.34501217
 0.32414723 0.36724537 0.40071965 0.46020054 0.47909334 0.40905888
 0.3534107  0.61143415 0.40315229 0.50514502 0.4644626  0.32953351
 0.43373058 0.45567803 0.35647102 0.31327901 0.44118985 0.37895473
 0.54949732 0.36866881 0.33546864 0.42195929 0.41599837 0.29980961
 0.50204519 0.4297383  0.43348192 0.39007001 0.38225155 0.4242292
 0.36244564 0.42306748 0.37450662 0.42062157 0.33609152 0.35907341
 0.64624349 0.44586753 0.52335516 0.46827627 0.36578657 0.3748026
 0.38991095 0.30752102 0.40203177 0.44112648 0.1648743  0.2348857
 0.3624249  0.40443889 0.22415476 0.50055115]"
f,"[0.46957808 0.36047854 0.42642045 0.43411017 0.41761595 0.44478019
 0.44472862 0.16988491 0.39625675 0.49095845 0.4305222  0.35155967
 0.45184841 0.46274864 0.53081266 0.40869069 0.39963015 0.34486873
 0.3235468  0.36738136 0.40055162 0.45998107 0.47918854 0.40863794
 0.35354703 0.6117972  0.40336901 0.5047299  0.46459067 0.32939083
 0.43266647 0.45553692 0.35621673 0.31307829 0.44070242 0.37806907
 0.54938076 0.36839611 0.33497493 0.42210588 0.4160219  0.29929583
 0.50199916 0.42960873 0.43362993 0.39007231 0.38253192 0.42456699
 0.3622599  0.42198903 0.37406253 0.42022289 0.33631377 0.35956107
 0.64617977 0.44509747 0.52415362 0.46809497 0.36560236 0.37479394
 0.38899896 0.3070066  0.40148747 0.4414173  0.16531199 0.23465844
 0.36225008 0.40453786 0.22375161 0.50104412]"
fʲ,"[0.4697195  0.36027478 0.42628496 0.43415794 0.41756706 0.44482852
 0.4445066  0.17019288 0.39611453 0.49097622 0.43066349 0.35136418
 0.45192636 0.46280799 0.53043899 0.40801151 0.39952842 0.34499936
 0.32345225 0.36748123 0.40042643 0.45992508 0.47907735 0.40873013
 0.35376599 0.61143208 0.40296694 0.50482237 0.46463806 0.32958847
 0.43228183 0.45552978 0.35623936 0.31386945 0.44071981 0.37834315
 0.54923275 0.36836476 0.33515557 0.42201431 0.41582162 0.29917672
 0.50180571 0.42954645 0.43302671 0.38994362 0.38262569 0.42384138
 0.36217539 0.42149806 0.37403437 0.42054472 0.33661322 0.35937839
 0.64621683 0.44513798 0.52378893 0.46814063 0.36557304 0.37477084
 0.38881299 0.30679862 0.40181233 0.44087307 0.16561938 0.23481948
 0.36239483 0.40440526 0.22358624 0.50081406]"
v,"[0.47001578 0.36056423 0.42605694 0.43438174 0.41751633 0.44490434
 0.44445    0.17097083 0.39608105 0.49103393 0.43076092 0.35106902
 0.45177321 0.46276168 0.53089937 0.40665443 0.3992442  0.34500161
 0.32308468 0.36759153 0.40026851 0.45972128 0.4791691  0.40831058
 0.35398032 0.61147321 0.40185536 0.50456023 0.46484375 0.32969422
 0.43138994 0.45560632 0.35607701 0.31555958 0.44034403 0.37805185
 0.54909553 0.36806257 0.33475089 0.42204877 0.41574982 0.29879109
 0.50162619 0.4293399  0.43165919 0.38937461 0.38276814 0.42219785
 0.36190975 0.42028451 0.37378771 0.42050657 0.3369797  0.35965892
 0.64618836 0.44460334 0.52416826 0.46808858 0.36552134 0.37469198
 0.3882584  0.30625759 0.40171765 0.44066169 0.16620099 0.23475603
 0.36235549 0.40450137 0.22317395 0.50121109]"
vʲ,"[0.47007827 0.36150621 0.42576714 0.43461248 0.417432   0.44491552
 0.44446663 0.17180713 0.39590882 0.49105957 0.43044722 0.35062816
 0.45179915 0.46267136 0.53105362 0.40596877 0.3989156  0.34505266
 0.32277632 0.36773021 0.40012529 0.45950182 0.47910756 0.40807584
 0.35425202 0.61113023 0.40130641 0.50443852 0.46502238 0.32978848
 0.43041781 0.45554952 0.35584951 0.31666114 0.44009527 0.37772148
 0.54867076 0.36780829 0.33414732 0.42205858 0.41572156 0.29839031
 0.50128709 0.4291871  0.43093307 0.38898614 0.38317308 0.42136027
 0.3616243  0.41898254 0.37360609 0.41977826 0.33730382 0.36052899
 0.64618202 0.44413025 0.52432205 0.46804968 0.36538963 0.37456309
 0.38767439 0.30558449 0.40098424 0.44008413 0.16685165 0.23491286
 0.36237504 0.40505978 0.2226651  0.5012971 ]"
m,"[0.47009562 0.35944509 0.4264314  0.43415882 0.41758478 0.44490208
 0.44425391 0.16989888 0.39628707 0.49101668 0.43116035 0.35178245
 0.45181897 0.46293287 0.53010749 0.40698817 0.39977787 0.34497888
 0.32362511 0.36736255 0.40031239 0.45998974 0.47911829 0.40872207
 0.35391147 0.61172592 0.40209447 0.50475383 0.46454927 0.32968014
 0.43296366 0.45573995 0.35628077 0.31477185 0.44070978 0.37851689
 0.54960902 0.36846941 0.33556753 0.42198554 0.41581814 0.29950658
 0.50193948 0.42959687 0.43215208 0.38982062 0.38220793 0.42266884
 0.36225587 0.42218524 0.37417024 0.42138964 0.33683444 0.35865398
 0.64628363 0.44569361 0.52341902 0.46819288 0.36573221 0.37476284
 0.38925035 0.30722441 0.40268184 0.44151824 0.16536842 0.23471078
 0.36235648 0.40400343 0.22393774 0.50069714]"
