,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
O,1.0,0.763501759125443,0.780081399037024,0.764739401901228,0.793408557576281,0.770989589812103,0.807918199491485,0.800210006614169,0.82175932654314,0.770174138718934,0.761977516422904,0.794930524992286,0.774984933369142,0.763456365453132,0.754047528811714,0.768473820228294,0.784057496859169,0.754207394687485,0.760284332490683,0.77302552394544,0.754191084398652,0.7524450483179,0.7564744038305,0.781020720092601,0.783546557498615,0.757440817561846,0.779227698865872,0.855341081982805,0.864951066461845,0.83968396455251,0.873333257901732,0.8646576724684,0.877530910017067,0.795714047098856
p,0.763501759125443,1.0,0.771622298673446,0.78517001695649,0.764699355532732,0.78433844864465,0.775177650188245,0.784139502384021,0.765039770818118,0.774164520938651,0.750357262673302,0.78180463723138,0.730424379833343,0.769334627067397,0.762080889368385,0.76430070193505,0.758769288603057,0.753087409183578,0.781237204679758,0.756645984798652,0.732369365783166,0.764208967191826,0.739423611736068,0.774478438313692,0.766508458389848,0.78545871703408,0.783285603109796,0.837654280645452,0.840220341962615,0.747607695442244,0.769146728542424,0.839784155152147,0.852748443280497,0.773184472207612
pʲ,0.780081399037024,0.771622298673446,1.0,0.759859393916343,0.781145208134181,0.760264235190005,0.80779786132497,0.802650290053213,0.791945246481093,0.742614506393952,0.761141290349374,0.777331106971876,0.748332906260328,0.75314722671262,0.758849750149881,0.77225654096934,0.760926938069812,0.736916431785551,0.745030327776602,0.75802823200778,0.755765126403608,0.756898767010323,0.756053892959551,0.786135372130075,0.801567648072508,0.774483386649415,0.753767896667278,0.833764595713237,0.855420307705562,0.759762118862004,0.766249500314923,0.85143049250697,0.855101952420482,0.7648649261123
b,0.764739401901228,0.78517001695649,0.759859393916343,1.0,0.737975013745622,0.736956950292957,0.760507869869109,0.78495404725158,0.744365695115942,0.754823744518582,0.75303282934297,0.771954692650147,0.747531186584427,0.75977502416136,0.75360640361819,0.756493924799411,0.756991420283767,0.749048924184914,0.769902464351459,0.776406820314896,0.752539160361645,0.778154687149162,0.754027173179634,0.763513002229125,0.775587185025057,0.784985432185665,0.754450899633075,0.840184870004493,0.850348452637144,0.779651951639286,0.786747063496734,0.849794815237384,0.850320284189364,0.762687558379767
bʲ,0.793408557576281,0.764699355532732,0.781145208134181,0.737975013745622,1.0,0.794766226701186,0.770152040890586,0.784124951170838,0.778200848483339,0.790274260269818,0.755293278790996,0.777964827539432,0.7684706602703,0.775313389645979,0.76212942320464,0.782294334293286,0.760295476354208,0.753429709733822,0.768215390272191,0.776252501344888,0.742561191324953,0.76030488773409,0.744029815165009,0.783423006642628,0.803929786091071,0.75377715481435,0.769131980520083,0.860197253007837,0.851668299623478,0.782355640724283,0.792198219777798,0.867601021323045,0.871397476851101,0.778320067620766
f,0.770989589812103,0.78433844864465,0.760264235190005,0.736956950292957,0.794766226701186,1.0,0.77443535160089,0.809117006940017,0.784062182187819,0.755569406730986,0.732631724971698,0.773959496699343,0.751488587057218,0.756078660079338,0.745360517696742,0.734620898667916,0.774890079666337,0.736885084980008,0.772121183539744,0.754959407048001,0.715218582070056,0.736739112411139,0.751435120699272,0.750999559344359,0.795424174477203,0.75862348518163,0.754113090567911,0.845119467454319,0.839068875984033,0.768281660853738,0.764011957393152,0.851660107152328,0.851981937383982,0.769425076351276
fʲ,0.807918199491485,0.775177650188245,0.80779786132497,0.760507869869109,0.770152040890586,0.77443535160089,1.000000000000001,0.806168013312219,0.806261468665688,0.790227543077549,0.768184287541715,0.785162222760317,0.745551401559329,0.750167852208193,0.750013011395431,0.780543025541499,0.755083830123075,0.759796439186107,0.765184290847583,0.751934446732234,0.758094938612212,0.769591509778154,0.770742291690668,0.789226817383099,0.775520239934861,0.74771308056844,0.790622535065988,0.854727711333548,0.860898017340554,0.769753831401127,0.79158452453192,0.871030227623766,0.878807937288634,0.786282488955748
v,0.800210006614169,0.784139502384021,0.802650290053213,0.78495404725158,0.784124951170838,0.809117006940017,0.806168013312219,1.0,0.780877193895665,0.786230984968094,0.770506567923317,0.815129000851706,0.797881941427007,0.762889378063036,0.764981172930351,0.767031272343779,0.82148601945927,0.759879447857592,0.781947810080047,0.779743621050778,0.784423209677972,0.763544872387978,0.767838489650934,0.787768365156388,0.813478193181261,0.785816772038773,0.800146184077894,0.868367959092289,0.884615143558239,0.801968866569564,0.81277291074654,0.892186435702939,0.896839157158846,0.802129808939093
vʲ,0.82175932654314,0.765039770818118,0.791945246481093,0.744365695115942,0.778200848483339,0.784062182187819,0.806261468665688,0.780877193895665,1.0,0.757039262031771,0.782990572761706,0.784559393582487,0.772080643095072,0.755850523521164,0.758008972120855,0.752461208435523,0.767406203859476,0.740573698280333,0.759711695034291,0.74642501886238,0.721599699415072,0.74806815679093,0.727113367232928,0.767648821599238,0.786143061981574,0.75276922791752,0.794550529109541,0.865994221848916,0.86528662274692,0.783203285069873,0.810890269503429,0.870118082116912,0.885508322267127,0.808216855404741
m,0.770174138718934,0.774164520938651,0.742614506393952,0.754823744518582,0.790274260269818,0.755569406730986,0.790227543077549,0.786230984968094,0.757039262031771,1.0,0.762220070178641,0.781036138314336,0.757796508939569,0.77703507655971,0.751665776026406,0.767016172692345,0.770275231897883,0.757317968752676,0.770468119054084,0.764466849301689,0.766842707540766,0.771409359936247,0.750242609026794,0.785668642515263,0.776495912579601,0.74638425772663,0.772891262495506,0.845477585447965,0.84891168788461,0.769119983053115,0.783371660522153,0.8491037296014,0.864007344039627,0.77311153628888
