,O,p,pʲ,b,bʲ,f,fʲ,v,vʲ,m,mʲ,t,tʲ,d,dʲ,s,sʲ,n,nʲ,l,lʲ,r,rʲ,k,kʲ,g,gʲ,x,xʲ,ɣ,ɣʲ,ŋ,ŋʲ,h
O,1.0,0.995035198002901,0.997076403056067,0.99612418773429,0.994117848749626,0.996600128978624,0.996531332818738,0.994996894699366,0.996280677396382,0.995185243928926,0.993913506778542,0.995239692419904,0.994745555181488,0.99490808843253,0.994743907903289,0.994669903714541,0.993680082466595,0.995586113679424,0.994290370293902,0.994879818314342,0.995513600506678,0.994343372136659,0.995253376070383,0.995209255704124,0.996026119690743,0.99526285415101,0.995516747807778,0.995717371871494,0.997441172913448,0.996212634370819,0.995592566689337,0.997397410356625,0.997275464821273,0.995901251727797
p,0.995035198002901,1.0,0.996103720907195,0.996155449732756,0.994274150707162,0.996382291755326,0.997182601398008,0.995546972848954,0.996217381610769,0.995078679898212,0.9934415553362,0.996274649032104,0.995816125552179,0.996299644812507,0.99578317031493,0.995595803062408,0.994872844724896,0.99541927936936,0.994130533750532,0.994394812400809,0.99592582665568,0.994477559787625,0.994870818253058,0.996038350040444,0.995617504661179,0.995362097450887,0.995753243821893,0.996881883305256,0.99722769566269,0.99687537302199,0.995996531691465,0.997476864887197,0.99736488110251,0.995854178977782
pʲ,0.997076403056067,0.996103720907195,1.0,0.997128086800741,0.995394730694674,0.996454090417395,0.99735112267786,0.996296051957678,0.996568313505764,0.995121128509191,0.994769230923534,0.994980058829894,0.995884231568708,0.995401305548004,0.99626082399748,0.995269774825595,0.99417731721617,0.996634018282819,0.994278810921033,0.994322561880317,0.996078304229963,0.994962323675881,0.995394157611096,0.995799759385717,0.995988557890762,0.996285537375961,0.997135233051584,0.996593579056984,0.997950941256412,0.9972414750485,0.997238087167627,0.997994271817977,0.998045619706119,0.996024520738741
b,0.99612418773429,0.996155449732756,0.997128086800741,1.0,0.995498441230975,0.997533487542496,0.996435749882417,0.9959907347976,0.995824956417666,0.994828634226912,0.994106239698492,0.994474118156178,0.995290261880149,0.994508038085757,0.996029190337522,0.995342562516618,0.994526086320451,0.996612462105866,0.993609696667592,0.994564288815473,0.996224281088738,0.993836499112355,0.99484392524679,0.995216822278914,0.995742979623759,0.994763703305359,0.996450039321631,0.99628765372677,0.997059149442093,0.996343212993282,0.995464054092432,0.997224566233753,0.99703190115232,0.995984120142617
bʲ,0.994117848749626,0.994274150707162,0.995394730694674,0.995498441230975,1.0,0.99555864296177,0.995350100776266,0.995165021350556,0.995016213406679,0.996003170925567,0.99303462803193,0.993450531171624,0.994090869745183,0.992751726186302,0.995760695435673,0.994525189677408,0.994517897343249,0.995614943429881,0.994584081197684,0.993535169987449,0.995337515236213,0.995224833106672,0.99539927085702,0.995530692441948,0.995996278586599,0.99467521154509,0.994288432207649,0.995669839631465,0.996645636123543,0.995812760400067,0.995286769778738,0.996659411165673,0.996325335922621,0.995381299555984
f,0.996600128978624,0.996382291755326,0.996454090417395,0.997533487542496,0.99555864296177,1.0,0.996736353867561,0.995722383419886,0.995754100056968,0.995025334479833,0.994331650960337,0.995012506698162,0.995365666090473,0.995033421705856,0.996050953239943,0.995499821516105,0.994120245912548,0.996910388181079,0.99453440365282,0.994882625644984,0.996100673007661,0.995704090121115,0.995343893274913,0.996423755540817,0.996644792314612,0.996361558236737,0.99543318625753,0.997096351343208,0.99764625460252,0.996502702324234,0.996182112055861,0.997818484626368,0.997533765931551,0.996638521364775
fʲ,0.996531332818738,0.997182601398008,0.99735112267786,0.996435749882417,0.995350100776266,0.996736353867561,1.0,0.99551571125671,0.996712610737907,0.996171464681554,0.994228981140418,0.996532300867949,0.996257473321632,0.995810864864388,0.995864507908774,0.996402463315076,0.995198022840106,0.996135740477384,0.995181410306872,0.994808021317386,0.996123734746651,0.995298744980577,0.995422849502258,0.997302082645136,0.996279648316991,0.996639587538256,0.9962143736085,0.997222403446031,0.997729506129778,0.997051211309657,0.996235571634484,0.998105325269608,0.997803321856922,0.995878224572015
v,0.994996894699366,0.995546972848954,0.996296051957678,0.9959907347976,0.995165021350556,0.995722383419886,0.99551571125671,1.0,0.996192122558266,0.995517077484089,0.994108690025947,0.995032471033494,0.996105531746896,0.99412124499376,0.995804780102205,0.99391538502564,0.995018620526032,0.995021675298463,0.994266119751774,0.995080579926773,0.997438998930727,0.994975934350433,0.995077345588246,0.995270461185194,0.995621954671152,0.994267729341888,0.996335157947325,0.996516449527968,0.997105184279618,0.994899200582811,0.997265149827575,0.996983797255953,0.997299991604912,0.995324390650892
vʲ,0.996280677396382,0.996217381610769,0.996568313505764,0.995824956417666,0.995016213406679,0.995754100056968,0.996712610737907,0.996192122558266,1.0,0.995411716816203,0.994824479577454,0.995568814355031,0.995985899670665,0.996789242503704,0.995807257453951,0.994540119279552,0.995546160814266,0.996179590542315,0.995939380307224,0.994839092129854,0.996367358966138,0.994931526599468,0.996383851315182,0.996399987932525,0.997080249643214,0.99517451272503,0.996502405481274,0.997212798227764,0.997970621044252,0.996117350133938,0.996785074243358,0.997592589337545,0.997687905471645,0.9965170477758
m,0.995185243928926,0.995078679898212,0.995121128509191,0.994828634226912,0.996003170925567,0.995025334479833,0.996171464681554,0.995517077484089,0.995411716816203,1.0,0.993702613920892,0.994979427226424,0.995331434155018,0.994679210100009,0.995190856199774,0.995119270241237,0.995089411662136,0.995057879267025,0.995942267128671,0.994804768697584,0.996323382787526,0.995228547591538,0.996366128456144,0.995982244792219,0.996623406120319,0.995696683892333,0.995396620350105,0.996502871320738,0.996631467496224,0.996248278425664,0.996141147655599,0.997060925924035,0.996785936630997,0.995249098713873
mʲ,0.993913506778542,0.9934415553362,0.994769230923534,0.994106239698492,0.99303462803193,0.994331650960337,0.994228981140418,0.994108690025947,0.994824479577454,0.993702613920892,1.0,0.993291123306725,0.993270059245302,0.995015021569221,0.993833006880564,0.993723476301946,0.993110290778598,0.993355612588222,0.993034823300388,0.99280298945484,0.994866890002059,0.994355360104864,0.994850200069536,0.993493813005345,0.995633019933612,0.99396408713777,0.993287583977868,0.994669016708993,0.996022311329671,0.995273590291934,0.994790470559088,0.995726639905337,0.995643766034316,0.993876458384723
t,0.995239692419904,0.996274649032104,0.994980058829894,0.994474118156178,0.993450531171624,0.995012506698162,0.996532300867949,0.995032471033494,0.995568814355031,0.994979427226424,0.993291123306725,1.0,0.99551473365967,0.995633733274169,0.995572180352172,0.995776096690975,0.996104686700078,0.99309590847194,0.994923000383636,0.995722964048431,0.996085977782924,0.994961007202874,0.995404403744124,0.996219272694144,0.995220205805173,0.995547611331107,0.996119256478022,0.996819825997129,0.996596358436102,0.99595898032598,0.99606967397301,0.99705229748939,0.996990349405758,0.996186564050942
tʲ,0.994745555181488,0.995816125552179,0.995884231568708,0.995290261880149,0.994090869745183,0.995365666090473,0.996257473321632,0.996105531746896,0.995985899670665,0.995331434155018,0.993270059245302,0.99551473365967,1.0,0.995298488740653,0.996393761169,0.995713093134409,0.99522060120171,0.995503226681102,0.994881608357247,0.994537050921279,0.996412814572732,0.995524901314898,0.995689584267495,0.995479930425956,0.99557082089086,0.99393292424196,0.995055712289166,0.997073709960344,0.997327280123196,0.995765114964386,0.99680530432367,0.997230644135384,0.997276731892988,0.996697421213514
d,0.99490808843253,0.996299644812507,0.995401305548004,0.994508038085757,0.992751726186302,0.995033421705856,0.995810864864388,0.99412124499376,0.996789242503704,0.994679210100009,0.995015021569221,0.995633733274169,0.995298488740653,1.0,0.995237977088997,0.994042370029911,0.995819569749276,0.995068523584785,0.994959915362328,0.99483622713344,0.994783609531818,0.995274012524811,0.996451243459601,0.995423858712292,0.996326140151601,0.995592312534443,0.995153797290227,0.996429958643563,0.996676457568314,0.99583414069781,0.995894935920545,0.996451729764795,0.996652315007705,0.996118080250454
dʲ,0.994743907903289,0.99578317031493,0.99626082399748,0.996029190337522,0.995760695435673,0.996050953239943,0.995864507908774,0.995804780102205,0.995807257453951,0.995190856199774,0.993833006880564,0.995572180352172,0.996393761169,0.995237977088997,1.0,0.995243577982266,0.996286315475421,0.995085141510977,0.994948464083717,0.994606858894711,0.995951465231706,0.996704248134107,0.996690088203672,0.996475397458273,0.996112576421618,0.994520032665132,0.995788211888718,0.997158637270482,0.997549486401068,0.996371672403019,0.996814650016433,0.997454820877091,0.997613790327089,0.995901876685562
s,0.994669903714541,0.995595803062408,0.995269774825595,0.995342562516618,0.994525189677408,0.995499821516105,0.996402463315076,0.99391538502564,0.994540119279552,0.995119270241237,0.993723476301946,0.995776096690975,0.995713093134409,0.994042370029911,0.995243577982266,1.0,0.993980487321525,0.994221780256829,0.993903635979809,0.993771833593442,0.994724119277554,0.995456178397463,0.994460784017796,0.994481419003036,0.995402639571556,0.994146539854809,0.994235355960993,0.99581000901074,0.996330707805711,0.996397556134936,0.995411156080876,0.99668069673063,0.9962394336908,0.995246676213219
sʲ,0.993680082466595,0.994872844724896,0.99417731721617,0.994526086320451,0.994517897343249,0.994120245912548,0.995198022840106,0.995018620526032,0.995546160814266,0.995089411662136,0.993110290778598,0.996104686700078,0.99522060120171,0.995819569749276,0.996286315475421,0.993980487321525,1.0,0.994299644251294,0.993500766138602,0.994503405998612,0.995870931696393,0.994864918283628,0.996136015628773,0.995345504017871,0.995572000749609,0.99346692863134,0.994727111881139,0.995580437008308,0.996137447072916,0.994468014652132,0.995189513937169,0.995919164593256,0.995879148403309,0.995048141798152
n,0.995586113679424,0.99541927936936,0.996634018282819,0.996612462105866,0.995614943429881,0.996910388181079,0.996135740477384,0.995021675298463,0.996179590542315,0.995057879267025,0.993355612588222,0.99309590847194,0.995503226681102,0.995068523584785,0.995085141510977,0.994221780256829,0.994299644251294,1.000000000000001,0.994007590728508,0.993717181858494,0.995083689940593,0.994302838854647,0.995114607617276,0.995121311017045,0.996008104247271,0.995451701859048,0.994964654614148,0.996702613781091,0.997345201457329,0.995812137915402,0.995577634338126,0.997454289543504,0.997279449381002,0.995502006408109
nʲ,0.994290370293902,0.994130533750532,0.994278810921033,0.993609696667592,0.994584081197684,0.99453440365282,0.995181410306872,0.994266119751774,0.995939380307224,0.995942267128671,0.993034823300388,0.994923000383636,0.994881608357247,0.994959915362328,0.994948464083717,0.993903635979809,0.993500766138602,0.994007590728508,1.0,0.995110225017635,0.995625346601453,0.994422272551976,0.995885186669282,0.996026792678048,0.996233399108172,0.995274082358063,0.995015661355375,0.99642114908888,0.996558045308823,0.994802877877362,0.995610604497115,0.996252091745548,0.996318096891626,0.994664876617486
