translation,initial phoneme,case,0
May (month),bʲ,DAT,1
May (month),bʲ,GEN,3
May (month),bʲ,NOM,3
May (month),mʲ,DAT,1
May (month),mʲ,GEN,1
May (month),vʲ,DAT,2
May (month),vʲ,NOM,1
November,h,DAT,2
November,s,DAT,1
November,s,GEN,4
November,s,NOM,3
November,t,DAT,1
November,t,NOM,1
bag,m,DAT,2
bag,m,GEN,3
bag,m,NOM,4
bag,v,DAT,2
bag,v,GEN,1
beer,bʲ,DAT,1
beer,bʲ,GEN,3
beer,bʲ,NOM,3
beer,mʲ,DAT,1
beer,mʲ,GEN,1
beer,vʲ,DAT,2
beer,vʲ,NOM,1
bicycle,r,DAT,4
bicycle,r,GEN,4
bicycle,r,NOM,4
book,lʲ,DAT,4
book,lʲ,GEN,4
book,lʲ,NOM,4
butterfly,O,DAT,2
butterfly,O,GEN,1
butterfly,fʲ,DAT,1
butterfly,fʲ,GEN,2
butterfly,fʲ,NOM,4
butterfly,vʲ,DAT,1
butterfly,vʲ,GEN,1
calf,g,DAT,1
calf,g,GEN,2
calf,g,NOM,4
calf,ŋ,DAT,1
calf,ŋ,GEN,1
calf,ɣ,DAT,2
calf,ɣ,GEN,1
cat,g,DAT,1
cat,g,GEN,1
cat,k,DAT,1
cat,k,GEN,2
cat,k,NOM,4
cat,x,DAT,2
cat,x,GEN,1
channel in strand,dʲ,DAT,2
channel in strand,dʲ,GEN,3
channel in strand,dʲ,NOM,4
channel in strand,nʲ,GEN,1
channel in strand,ɣʲ,DAT,2
child,b,DAT,1
child,b,GEN,1
child,f,DAT,2
child,f,GEN,1
child,p,DAT,1
child,p,GEN,2
child,p,NOM,4
complaint,gʲ,DAT,1
complaint,gʲ,GEN,2
complaint,gʲ,NOM,4
complaint,ŋʲ,DAT,1
complaint,ŋʲ,GEN,1
complaint,ɣʲ,DAT,2
complaint,ɣʲ,GEN,1
country,dʲ,GEN,1
country,h,DAT,2
country,tʲ,DAT,2
country,tʲ,GEN,3
country,tʲ,NOM,4
cow,b,DAT,1
cow,b,GEN,3
cow,b,NOM,3
cow,m,DAT,1
cow,m,GEN,1
cow,v,DAT,2
cow,v,NOM,1
deceiver,mʲ,DAT,2
deceiver,mʲ,GEN,3
deceiver,mʲ,NOM,4
deceiver,vʲ,DAT,2
deceiver,vʲ,GEN,1
deer,O,DAT,2
deer,O,GEN,1
deer,fʲ,DAT,1
deer,fʲ,GEN,2
deer,fʲ,NOM,4
deer,vʲ,DAT,1
deer,vʲ,GEN,1
dog,m,DAT,2
dog,m,GEN,3
dog,m,NOM,4
dog,v,DAT,2
dog,v,GEN,1
dress,g,DAT,1
dress,g,GEN,2
dress,g,NOM,4
dress,ŋ,DAT,1
dress,ŋ,GEN,1
dress,ɣ,DAT,2
dress,ɣ,GEN,1
eye,h,DAT,2
eye,s,DAT,1
eye,s,GEN,4
eye,s,NOM,3
eye,t,DAT,1
eye,t,NOM,1
fog,gʲ,DAT,1
fog,gʲ,GEN,1
fog,kʲ,DAT,1
fog,kʲ,GEN,2
fog,kʲ,NOM,4
fog,xʲ,DAT,2
fog,xʲ,GEN,1
fox,h,DAT,2
fox,sʲ,DAT,2
fox,sʲ,GEN,3
fox,sʲ,NOM,4
fox,tʲ,GEN,1
friend,g,DAT,1
friend,g,GEN,1
friend,k,DAT,1
friend,k,GEN,2
friend,k,NOM,4
friend,x,DAT,2
friend,x,GEN,1
fruit,d,GEN,1
fruit,h,DAT,2
fruit,t,DAT,2
fruit,t,GEN,3
fruit,t,NOM,4
generator,gʲ,DAT,1
generator,gʲ,GEN,2
generator,gʲ,NOM,4
generator,ŋʲ,DAT,1
generator,ŋʲ,GEN,1
generator,ɣʲ,DAT,2
generator,ɣʲ,GEN,1
god,dʲ,DAT,2
god,dʲ,GEN,3
god,dʲ,NOM,4
god,nʲ,GEN,1
god,ɣʲ,DAT,2
hand,l,DAT,4
hand,l,GEN,4
hand,l,NOM,4
increase,mʲ,DAT,2
increase,mʲ,GEN,3
increase,mʲ,NOM,4
increase,vʲ,DAT,2
increase,vʲ,GEN,1
job,b,DAT,1
job,b,GEN,1
