translation,initial phoneme,definiteness,0
May (month),bʲ,DEF,3
May (month),bʲ,INDEF,4
May (month),mʲ,DEF,2
May (month),vʲ,DEF,1
May (month),vʲ,INDEF,2
November,h,INDEF,2
November,s,DEF,4
November,s,INDEF,4
November,t,DEF,2
bag,m,DEF,6
bag,m,INDEF,3
bag,v,INDEF,3
beer,bʲ,DEF,3
beer,bʲ,INDEF,4
beer,mʲ,DEF,2
beer,vʲ,DEF,1
beer,vʲ,INDEF,2
bicycle,r,DEF,6
bicycle,r,INDEF,6
book,lʲ,DEF,6
book,lʲ,INDEF,6
butterfly,O,DEF,1
butterfly,O,INDEF,2
butterfly,fʲ,DEF,3
butterfly,fʲ,INDEF,4
butterfly,vʲ,DEF,2
calf,g,DEF,3
calf,g,INDEF,4
calf,ŋ,DEF,2
calf,ɣ,DEF,1
calf,ɣ,INDEF,2
cat,g,DEF,2
cat,k,DEF,3
cat,k,INDEF,4
cat,x,DEF,1
cat,x,INDEF,2
channel in strand,dʲ,DEF,5
channel in strand,dʲ,INDEF,4
channel in strand,nʲ,DEF,1
channel in strand,ɣʲ,INDEF,2
child,b,DEF,2
child,f,DEF,1
child,f,INDEF,2
child,p,DEF,3
child,p,INDEF,4
complaint,gʲ,DEF,3
complaint,gʲ,INDEF,4
complaint,ŋʲ,DEF,2
complaint,ɣʲ,DEF,1
complaint,ɣʲ,INDEF,2
country,dʲ,DEF,1
country,h,INDEF,2
country,tʲ,DEF,5
country,tʲ,INDEF,4
cow,b,DEF,3
cow,b,INDEF,4
cow,m,DEF,2
cow,v,DEF,1
cow,v,INDEF,2
deceiver,mʲ,DEF,5
deceiver,mʲ,INDEF,4
deceiver,vʲ,DEF,1
deceiver,vʲ,INDEF,2
deer,O,DEF,1
deer,O,INDEF,2
deer,fʲ,DEF,3
deer,fʲ,INDEF,4
deer,vʲ,DEF,2
dog,m,DEF,5
dog,m,INDEF,4
dog,v,DEF,1
dog,v,INDEF,2
dress,g,DEF,3
dress,g,INDEF,4
dress,ŋ,DEF,2
dress,ɣ,DEF,1
dress,ɣ,INDEF,2
eye,h,INDEF,2
eye,s,DEF,4
eye,s,INDEF,4
eye,t,DEF,2
fog,gʲ,DEF,2
fog,kʲ,DEF,3
fog,kʲ,INDEF,4
fog,xʲ,DEF,1
fog,xʲ,INDEF,2
fox,h,INDEF,2
fox,sʲ,DEF,5
fox,sʲ,INDEF,4
fox,tʲ,DEF,1
friend,g,DEF,2
friend,k,DEF,3
friend,k,INDEF,4
friend,x,DEF,1
friend,x,INDEF,2
fruit,d,DEF,1
fruit,h,INDEF,2
fruit,t,DEF,5
fruit,t,INDEF,4
generator,gʲ,DEF,3
generator,gʲ,INDEF,4
generator,ŋʲ,DEF,2
generator,ɣʲ,DEF,1
generator,ɣʲ,INDEF,2
god,dʲ,DEF,5
god,dʲ,INDEF,4
god,nʲ,DEF,1
god,ɣʲ,INDEF,2
hand,l,DEF,6
hand,l,INDEF,6
increase,mʲ,DEF,5
increase,mʲ,INDEF,4
increase,vʲ,DEF,1
increase,vʲ,INDEF,2
job,b,DEF,2
job,f,DEF,1
job,f,INDEF,2
job,p,DEF,3
job,p,INDEF,4
knot,O,DEF,1
knot,O,INDEF,2
knot,f,DEF,3
knot,f,INDEF,4
knot,v,DEF,2
language,dʲ,DEF,1
language,h,INDEF,2
language,tʲ,DEF,5
language,tʲ,INDEF,4
license,gʲ,DEF,2
license,kʲ,DEF,3
license,kʲ,INDEF,4
license,xʲ,DEF,1
license,xʲ,INDEF,2
lighter,lʲ,DEF,6
lighter,lʲ,INDEF,6
mouse,l,DEF,6
mouse,l,INDEF,6
nervous system,nʲ,DEF,6
nervous system,nʲ,INDEF,6
newspaper,n,DEF,6
newspaper,n,INDEF,6
pepper,bʲ,DEF,2
pepper,fʲ,DEF,1
pepper,fʲ,INDEF,2
pepper,pʲ,DEF,3
pepper,pʲ,INDEF,4
petal,bʲ,DEF,2
petal,fʲ,DEF,1
petal,fʲ,INDEF,2
petal,pʲ,DEF,3
petal,pʲ,INDEF,4
poem,d,DEF,5
poem,d,INDEF,4
poem,n,DEF,1
poem,ɣ,INDEF,2
seal,r,DEF,6
seal,r,INDEF,6
shop,h,INDEF,2
shop,sʲ,DEF,5
shop,sʲ,INDEF,4
shop,tʲ,DEF,1
spasm,rʲ,DEF,6
spasm,rʲ,INDEF,6
star,rʲ,DEF,6
star,rʲ,INDEF,6
stud/boss,b,DEF,3
stud/boss,b,INDEF,4
stud/boss,m,DEF,2
stud/boss,v,DEF,1
stud/boss,v,INDEF,2
student,d,DEF,5
student,d,INDEF,4
student,n,DEF,1
student,ɣ,INDEF,2
tavern,d,DEF,1
tavern,h,INDEF,2
tavern,t,DEF,5
tavern,t,INDEF,4
tradition,n,DEF,6
tradition,n,INDEF,6
washer (person),nʲ,DEF,6
washer (person),nʲ,INDEF,6
window,O,DEF,1
window,O,INDEF,2
window,f,DEF,3
window,f,INDEF,4
window,v,DEF,2
