translation,initial phoneme,plurality,0
May (month),bʲ,PL,4
May (month),bʲ,SG,3
May (month),mʲ,PL,1
May (month),mʲ,SG,1
May (month),vʲ,PL,1
May (month),vʲ,SG,2
November,h,PL,1
November,h,SG,1
November,s,PL,5
November,s,SG,3
November,t,SG,2
bag,m,PL,5
bag,m,SG,4
bag,v,PL,1
bag,v,SG,2
beer,bʲ,PL,4
beer,bʲ,SG,3
beer,mʲ,PL,1
beer,mʲ,SG,1
beer,vʲ,PL,1
beer,vʲ,SG,2
bicycle,r,PL,6
bicycle,r,SG,6
book,lʲ,PL,6
book,lʲ,SG,6
butterfly,O,PL,1
butterfly,O,SG,2
butterfly,fʲ,PL,4
butterfly,fʲ,SG,3
butterfly,vʲ,PL,1
butterfly,vʲ,SG,1
calf,g,PL,4
calf,g,SG,3
calf,ŋ,PL,1
calf,ŋ,SG,1
calf,ɣ,PL,1
calf,ɣ,SG,2
cat,g,PL,1
cat,g,SG,1
cat,k,PL,4
cat,k,SG,3
cat,x,PL,1
cat,x,SG,2
channel in strand,dʲ,PL,4
channel in strand,dʲ,SG,5
channel in strand,nʲ,PL,1
channel in strand,ɣʲ,PL,1
channel in strand,ɣʲ,SG,1
child,b,PL,1
child,b,SG,1
child,f,PL,1
child,f,SG,2
child,p,PL,4
child,p,SG,3
complaint,gʲ,PL,4
complaint,gʲ,SG,3
complaint,ŋʲ,PL,1
complaint,ŋʲ,SG,1
complaint,ɣʲ,PL,1
complaint,ɣʲ,SG,2
country,dʲ,PL,1
country,h,PL,1
country,h,SG,1
country,tʲ,PL,4
country,tʲ,SG,5
cow,b,PL,4
cow,b,SG,3
cow,m,PL,1
cow,m,SG,1
cow,v,PL,1
cow,v,SG,2
deceiver,mʲ,PL,5
deceiver,mʲ,SG,4
deceiver,vʲ,PL,1
deceiver,vʲ,SG,2
deer,O,PL,1
deer,O,SG,2
deer,fʲ,PL,4
deer,fʲ,SG,3
deer,vʲ,PL,1
deer,vʲ,SG,1
dog,m,PL,5
dog,m,SG,4
dog,v,PL,1
dog,v,SG,2
dress,g,PL,4
dress,g,SG,3
dress,ŋ,PL,1
dress,ŋ,SG,1
dress,ɣ,PL,1
dress,ɣ,SG,2
eye,h,PL,1
eye,h,SG,1
eye,s,PL,5
eye,s,SG,3
eye,t,SG,2
fog,gʲ,PL,1
fog,gʲ,SG,1
fog,kʲ,PL,4
fog,kʲ,SG,3
fog,xʲ,PL,1
fog,xʲ,SG,2
fox,h,PL,1
fox,h,SG,1
fox,sʲ,PL,5
fox,sʲ,SG,4
fox,tʲ,SG,1
friend,g,PL,1
friend,g,SG,1
friend,k,PL,4
friend,k,SG,3
friend,x,PL,1
friend,x,SG,2
fruit,d,PL,1
fruit,h,PL,1
fruit,h,SG,1
fruit,t,PL,4
fruit,t,SG,5
generator,gʲ,PL,4
generator,gʲ,SG,3
generator,ŋʲ,PL,1
generator,ŋʲ,SG,1
generator,ɣʲ,PL,1
generator,ɣʲ,SG,2
god,dʲ,PL,4
god,dʲ,SG,5
god,nʲ,PL,1
god,ɣʲ,PL,1
god,ɣʲ,SG,1
hand,l,PL,6
hand,l,SG,6
increase,mʲ,PL,5
increase,mʲ,SG,4
increase,vʲ,PL,1
increase,vʲ,SG,2
job,b,PL,1
job,b,SG,1
job,f,PL,1
job,f,SG,2
job,p,PL,4
job,p,SG,3
knot,O,PL,1
knot,O,SG,2
knot,f,PL,4
knot,f,SG,3
knot,v,PL,1
knot,v,SG,1
language,dʲ,PL,1
language,h,PL,1
language,h,SG,1
language,tʲ,PL,4
language,tʲ,SG,5
license,gʲ,PL,1
license,gʲ,SG,1
license,kʲ,PL,4
license,kʲ,SG,3
license,xʲ,PL,1
license,xʲ,SG,2
lighter,lʲ,PL,6
lighter,lʲ,SG,6
mouse,l,PL,6
mouse,l,SG,6
nervous system,nʲ,PL,6
nervous system,nʲ,SG,6
newspaper,n,PL,6
newspaper,n,SG,6
pepper,bʲ,PL,1
pepper,bʲ,SG,1
pepper,fʲ,PL,1
pepper,fʲ,SG,2
pepper,pʲ,PL,4
pepper,pʲ,SG,3
petal,bʲ,PL,1
petal,bʲ,SG,1
petal,fʲ,PL,1
petal,fʲ,SG,2
petal,pʲ,PL,4
petal,pʲ,SG,3
poem,d,PL,4
poem,d,SG,5
poem,n,PL,1
poem,ɣ,PL,1
poem,ɣ,SG,1
seal,r,PL,6
seal,r,SG,6
shop,h,PL,1
shop,h,SG,1
shop,sʲ,PL,5
shop,sʲ,SG,4
shop,tʲ,SG,1
spasm,rʲ,PL,6
spasm,rʲ,SG,6
star,rʲ,PL,6
star,rʲ,SG,6
stud/boss,b,PL,4
stud/boss,b,SG,3
stud/boss,m,PL,1
stud/boss,m,SG,1
stud/boss,v,PL,1
stud/boss,v,SG,2
student,d,PL,4
student,d,SG,5
student,n,PL,1
student,ɣ,PL,1
student,ɣ,SG,1
tavern,d,PL,1
tavern,h,PL,1
tavern,h,SG,1
tavern,t,PL,4
tavern,t,SG,5
tradition,n,PL,6
tradition,n,SG,6
washer (person),nʲ,PL,6
washer (person),nʲ,SG,6
window,O,PL,1
window,O,SG,2
window,f,PL,4
window,f,SG,3
window,v,PL,1
window,v,SG,1
